@RELATION Mouse

@ATTRIBUTE cheesePosX	INTEGER
@ATTRIBUTE cheesePosY	INTEGER
@ATTRIBUTE mousePosX 	INTEGER
@ATTRIBUTE mousePosY	INTEGER
@ATTRIBUTE eatenBits	INTEGER
@ATTRIBUTE class 	{eat,moveleft,moveright,stand}

@DATA
1,2,1,2,13,eat
2,2,1,2,13,stand
3,2,1,1,13,moveright
1,1,1,1,12,eat
2,1,1,1,12,stand
3,1,1,1,12,stand
1,1,1,1,11,eat
2,1,1,2,11,moveleft
3,1,1,3,11,moveleft
1,3,1,3,10,eat
2,3,1,3,10,stand
3,3,1,2,10,moveright
1,2,1,2,9,eat
2,2,1,2,9,stand
3,2,1,3,9,moveleft
1,3,1,3,8,eat
2,3,1,2,8,moveright
3,3,1,1,8,moveright
1,1,1,1,7,eat
2,1,1,2,7,moveleft
3,1,1,3,7,moveleft
1,3,1,3,6,eat
2,3,1,2,6,moveright
3,3,1,1,6,moveright
1,1,1,1,5,eat
2,1,1,1,5,stand
3,1,1,2,5,moveleft
1,2,1,2,4,eat
2,2,1,2,4,stand
3,2,1,2,4,stand
1,2,1,2,3,eat
2,2,1,2,3,stand
3,2,1,2,3,stand
1,2,1,2,2,eat
2,2,1,2,2,stand
3,2,1,2,2,stand
1,2,1,2,1,eat
2,2,1,2,1,stand
3,2,1,3,1,moveleft
1,3,1,3,0,eat
2,3,1,3,0,stand
3,3,1,2,0,moveright
1,1,1,1,0,eat
2,1,1,1,0,stand
3,1,1,1,0,stand
1,1,1,1,5,eat
2,1,1,1,5,stand
3,1,1,1,5,stand
1,1,1,1,4,eat
2,1,1,1,4,stand
3,1,1,1,4,stand
1,1,1,1,3,eat
2,1,1,2,3,moveleft
3,1,1,3,3,moveleft
1,3,1,3,2,eat
2,3,1,3,2,stand
3,3,1,2,2,moveright
1,2,1,2,1,eat
2,2,1,2,1,stand
3,2,1,3,1,moveleft
1,3,1,3,0,eat
2,3,1,3,0,stand
3,3,1,2,0,moveright
1,3,1,3,6,eat
2,3,1,3,6,stand
3,3,1,2,6,moveright
1,2,1,2,5,eat
2,2,1,2,5,stand
3,2,1,3,5,moveleft
1,3,1,3,4,eat
2,3,1,2,4,moveright
3,3,1,1,4,moveright
1,1,1,1,3,eat
2,1,1,1,3,stand
3,1,1,1,3,stand
1,1,1,1,2,eat
2,1,1,2,2,moveleft
3,1,1,3,2,moveleft
1,3,1,3,1,eat
2,3,1,3,1,stand
3,3,1,3,1,stand
1,3,1,3,0,eat
2,3,1,2,0,moveright
3,3,1,1,0,moveright
1,1,1,1,0,eat
2,1,1,1,0,stand
3,1,1,2,0,moveleft
1,2,1,2,0,eat
2,2,1,2,0,stand
3,2,1,2,0,stand
1,2,1,2,8,eat
2,2,1,2,8,stand
3,2,1,3,8,moveleft
1,3,1,3,7,eat
2,3,1,3,7,stand
3,3,1,2,7,moveright
1,2,1,2,6,eat
2,2,1,2,6,stand
3,2,1,2,6,stand
1,2,1,2,5,eat
2,2,1,2,5,stand
3,2,1,2,5,stand
1,2,1,2,4,eat
2,2,1,2,4,stand
3,2,1,2,4,stand
1,2,1,2,3,eat
2,2,1,2,3,stand
3,2,1,1,3,moveright
1,1,1,1,2,eat
2,1,1,2,2,moveleft
3,1,1,3,2,moveleft
1,3,1,3,1,eat
2,3,1,3,1,stand
3,3,1,3,1,stand
1,3,1,3,0,eat
2,3,1,2,0,moveright
3,3,1,1,0,moveright
1,3,1,3,1,eat
2,3,1,2,1,moveright
3,3,1,1,1,moveright
1,1,1,1,0,eat
2,1,1,1,0,stand
3,1,1,1,0,stand
1,3,1,3,3,eat
2,3,1,2,3,moveright
3,3,1,1,3,moveright
1,1,1,1,2,eat
2,1,1,2,2,moveleft
3,1,1,3,2,moveleft
1,3,1,3,1,eat
2,3,1,2,1,moveright
3,3,1,1,1,moveright
1,1,1,1,0,eat
2,1,1,1,0,stand
3,1,1,1,0,stand
1,2,1,2,5,eat
2,2,1,2,5,stand
3,2,1,1,5,moveright
1,1,1,1,4,eat
2,1,1,1,4,stand
3,1,1,1,4,stand
1,1,1,1,3,eat
2,1,1,1,3,stand
3,1,1,1,3,stand
1,1,1,1,2,eat
2,1,1,2,2,moveleft
3,1,1,3,2,moveleft
1,3,1,3,1,eat
2,3,1,3,1,stand
3,3,1,2,1,moveright
1,2,1,2,0,eat
2,2,1,2,0,stand
3,2,1,1,0,moveright
1,3,1,3,1,eat
2,3,1,3,1,stand
3,3,1,2,1,moveright
1,2,1,2,0,eat
2,2,1,2,0,stand
3,2,1,1,0,moveright
1,2,1,2,0,eat
